route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why,data_updated_date
935,935,0,PM Peak (15–19),29,51.0,45.800000000000004,55.0,9.199999999999996,29.0,11.0,6.0,11.0,0.07916666666666666,0.2839506172839505,19.81,moderate,2026-06-11
935,935,1,AM Peak (6–9),23,44.0,40.0,44.0,4.0,22.0,10.0,8.1,10.0,0.08636363636363636,0.14705882352941174,11.85,moderate,2026-06-11
935,935,1,Evening (19–24),17,39.0,38.6,39.0,0.3999999999999986,18.0,7.0,4.4,7.0,0.11875,0.01694915254237282,5.17,moderate,2026-06-11
935,935,1,Midday (9–15),41,45.0,42.0,51.0,9.0,41.0,10.0,7.0,27.0,0.08636363636363636,0.2795031055900621,19.79,moderate,2026-06-11
935,935,1,Overnight (0–6),6,40.0,38.5,40.0,1.5,1.0,0.0,0.0,0.0,0.95,0.060728744939271245,36.89,no recovery time,2026-06-11
935,935,1,PM Peak (15–19),30,48.0,45.7,54.0,8.299999999999997,28.0,11.5,7.7,24.0,0.076,0.2634920634920634,18.47,moderate,2026-06-11
937,937,0,AM Peak (6–9),10,41.0,37.0,41.0,4.0,8.0,7.0,7.0,9.6,0.11875,0.14705882352941174,12.98,moderate,2026-06-11
937,937,0,Evening (19–24),6,40.0,40.0,40.0,0.0,1.0,11.0,11.0,11.0,0.07916666666666666,0.0,2.77,moderate,2026-06-11
937,937,0,Midday (9–15),2,41.0,41.0,41.0,0.0,1.0,7.0,7.0,7.0,0.11875,0.0,4.16,moderate,2026-06-11
937,937,0,PM Peak (15–19),15,44.0,40.0,44.0,4.0,12.0,7.0,4.1,7.0,0.11875,0.14705882352941174,12.98,moderate,2026-06-11
937,937,1,AM Peak (6–9),12,40.0,35.0,40.0,5.0,11.0,8.0,4.0,8.0,0.10555555555555556,0.17730496453900707,14.33,moderate,2026-06-11
937,937,1,Evening (19–24),2,50.0,50.0,50.0,0.0,5.0,7.0,3.4000000000000004,7.0,0.11875,0.0,4.16,moderate,2026-06-11
937,937,1,Midday (9–15),2,40.0,40.0,40.0,0.0,1.0,8.0,8.0,8.0,0.10555555555555556,0.0,3.69,moderate,2026-06-11
937,937,1,Overnight (0–6),1,35.0,35.0,35.0,0.0,,10.0,,,0.08636363636363636,0.0,3.02,moderate,2026-06-11
937,937,1,PM Peak (15–19),17,56.0,50.0,56.0,6.0,14.0,5.0,2.3,7.0,0.15833333333333333,0.2054794520547945,17.87,moderate,2026-06-11
939,939,0,AM Peak (6–9),48,49.0,25.96666666666667,81.0,55.03333333333333,36.0,4.5,2.0,5.0,0.17272727272727273,0.7034512143161482,48.25,high schedule variability,2026-06-11
939,939,0,Evening (19–24),31,59.0,19.0,78.0,59.0,29.0,10.0,0.0,11.0,0.08636363636363636,0.7177615571776156,46.09,high schedule variability,2026-06-11
939,939,0,Midday (9–15),59,62.0,18.853333333333335,84.60000000000001,65.74666666666667,55.0,9.0,2.0,10.0,0.095,0.7391695397991306,47.68,high schedule variability,2026-06-11
939,939,0,Overnight (0–6),11,29.266666666666666,18.266666666666666,50.0,31.733333333333334,7.0,10.0,1.2000000000000002,10.0,0.08636363636363636,0.5776699029126213,37.68,high schedule variability,2026-06-11
939,939,0,PM Peak (15–19),33,57.0,57.0,100.0,43.0,30.0,15.5,13.0,18.1,0.05757575757575757,0.6495468277945619,40.99,high schedule variability,2026-06-11
939,939,1,AM Peak (6–9),41,65.0,51.0,87.0,36.0,35.0,8.0,1.4000000000000004,10.0,0.10555555555555556,0.6081081081081081,40.18,high schedule variability,2026-06-11
939,939,1,Evening (19–24),30,57.0,13.0,74.0,61.0,29.0,12.0,5.0,17.0,0.07307692307692307,0.7244655581947743,46.03,high schedule variability,2026-06-11
939,939,1,Midday (9–15),55,65.0,27.22000000000001,86.0,58.77999999999999,50.0,14.0,5.0,21.0,0.06333333333333332,0.7170041473530129,45.24,high schedule variability,2026-06-11
939,939,1,Overnight (0–6),13,57.0,50.0,63.0,13.0,4.0,10.0,10.0,13.5,0.08636363636363636,0.3591160220994475,24.57,moderate,2026-06-11
939,939,1,PM Peak (15–19),31,60.0,60.0,93.0,33.0,33.0,7.0,5.0,16.0,0.11875,0.5871886120996441,39.39,high schedule variability,2026-06-11
941,941,0,AM Peak (6–9),10,43.71666666666667,42.5,43.71666666666667,1.2166666666666686,7.0,6.0,0.6000000000000001,8.0,0.1357142857142857,0.049829351535836244,7.74,moderate,2026-06-11
941,941,0,Evening (19–24),3,40.71666666666667,40.71666666666667,40.71666666666667,0.0,2.0,2.0,0.4,3.6,0.31666666666666665,0.0,11.08,very low recovery time,2026-06-11
941,941,0,Midday (9–15),5,48.71666666666667,45.71666666666667,48.71666666666667,3.0,1.0,13.0,13.0,13.0,0.06785714285714285,0.11450381679389311,9.25,moderate,2026-06-11
941,941,0,PM Peak (15–19),17,48.71666666666667,40.71666666666667,48.71666666666667,8.0,16.0,8.0,4.5,9.0,0.10555555555555556,0.2564102564102564,19.08,moderate,2026-06-11
941,941,1,AM Peak (6–9),12,44.35,37.540000000000006,44.35,6.809999999999995,,10.0,,,0.08636363636363636,0.22692435854715082,16.64,moderate,2026-06-11
