route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why
120,120,1,Midday (9–15),14,28.0,28.0,30.0,2.0,12.0,2.0,0.10000000000000009,2.0,0.8,0.05714285714285714,42.9,very low recovery time
120,120,1,Overnight (0–6),4,11.891666666666666,2.783333333333333,21.0,18.21666666666667,3.0,3.0,0.6000000000000001,7.800000000000001,0.7,0.5204761904761905,61.0,very low recovery time
120,120,1,PM Peak (15–19),10,30.0,21.878333333333334,30.0,8.121666666666666,10.0,8.0,0.9,8.1,0.19999999999999996,0.23204761904761903,21.6,moderate
121,121,0,AM Peak (6–9),11,29.0,28.0,29.0,1.0,10.0,2.0,2.0,3.1999999999999993,0.8,0.02857142857142857,41.4,very low recovery time
121,121,0,Evening (19–24),14,32.5,30.0,35.0,5.0,13.0,2.0,1.2000000000000002,2.0,0.8,0.14285714285714285,47.1,very low recovery time
121,121,0,Midday (9–15),18,29.0,29.0,29.0,0.0,18.0,1.0,0.0,1.0,0.9,0.0,45.0,no recovery time
121,121,0,Overnight (0–6),4,30.0,29.498333333333335,30.0,0.5016666666666652,5.0,2.0,2.0,7.120000000000001,0.8,0.01433333333333329,40.7,very low recovery time
121,121,0,PM Peak (15–19),13,36.0,31.4,36.0,4.600000000000001,12.0,3.0,1.2000000000000002,11.700000000000001,0.7,0.13142857142857148,41.6,very low recovery time
121,121,1,AM Peak (6–9),12,26.0,26.0,26.0,0.0,11.0,3.0,3.0,5.0,0.7,0.0,35.0,very low recovery time
121,121,1,Evening (19–24),14,29.0,24.0,29.0,5.0,14.0,4.5,4.0,6.0,0.55,0.14285714285714285,34.6,moderate
121,121,1,Midday (9–15),18,28.0,28.0,28.0,0.0,17.0,2.0,2.0,2.0,0.8,0.0,40.0,very low recovery time
121,121,1,Overnight (0–6),5,24.0,24.0,24.0,0.0,4.0,4.0,1.2000000000000002,4.0,0.6,0.0,30.0,moderate
121,121,1,PM Peak (15–19),12,32.0,29.3,32.0,2.6999999999999993,13.0,1.0,1.0,3.0,0.9,0.07714285714285712,48.9,no recovery time
122,122,0,AM Peak (6–9),14,28.5,24.0,30.0,6.0,13.0,9.0,8.0,11.400000000000002,0.09999999999999998,0.17142857142857143,13.6,moderate
122,122,0,Evening (19–24),16,28.0,25.0,31.0,6.0,13.0,6.0,6.0,12.0,0.4,0.17142857142857143,28.6,moderate
122,122,0,Midday (9–15),20,27.0,25.0,30.0,5.0,18.0,6.5,4.0,9.800000000000004,0.35,0.14285714285714285,24.6,moderate
122,122,0,Overnight (0–6),5,25.0,24.4,25.0,0.6000000000000014,3.0,12.0,12.0,12.0,0.0,0.017142857142857182,0.9,moderate
122,122,0,PM Peak (15–19),24,31.0,31.0,31.0,0.0,22.0,7.0,7.0,7.0,0.30000000000000004,0.0,15.0,moderate
122,122,1,AM Peak (6–9),15,29.0,26.0,33.0,7.0,14.0,1.0,1.0,1.0,0.9,0.2,55.0,no recovery time
122,122,1,Evening (19–24),14,25.0,22.0,25.0,3.0,16.0,1.0,1.0,1.0,0.9,0.08571428571428572,49.3,no recovery time
122,122,1,Midday (9–15),20,28.0,27.0,30.1,3.1000000000000014,20.0,1.0,1.0,1.0,0.9,0.0885714285714286,49.4,no recovery time
122,122,1,Overnight (0–6),6,22.0,9.0,24.0,15.0,5.0,1.0,1.0,1.0,0.9,0.42857142857142855,66.4,no recovery time
122,122,1,PM Peak (15–19),24,31.0,31.0,31.0,0.0,24.0,1.0,1.0,1.0,0.9,0.0,45.0,no recovery time
123,123,0,AM Peak (6–9),35,15.0,15.0,26.0,11.0,31.0,6.0,5.0,7.0,0.4,0.3142857142857143,35.7,moderate
123,123,0,Evening (19–24),24,21.0,20.0,21.0,1.0,24.0,4.0,1.6000000000000005,7.0,0.6,0.02857142857142857,31.4,moderate
123,123,0,Midday (9–15),34,16.5,16.0,27.0,11.0,34.0,7.0,3.0,9.0,0.30000000000000004,0.3142857142857143,30.7,moderate
123,123,0,Overnight (0–6),13,20.0,10.106666666666667,21.0,10.893333333333333,10.0,5.0,3.9,11.1,0.5,0.3112380952380952,40.6,moderate
123,123,0,PM Peak (15–19),44,17.0,15.0,29.0,14.0,44.0,5.0,3.0,5.0,0.5,0.4,45.0,moderate
123,123,1,AM Peak (6–9),33,16.0,16.0,32.0,16.0,33.0,6.0,3.0,7.0,0.4,0.45714285714285713,42.9,moderate
123,123,1,Evening (19–24),25,24.0,22.0,26.0,4.0,23.0,3.0,1.2000000000000002,3.0,0.7,0.11428571428571428,40.7,very low recovery time
123,123,1,Midday (9–15),35,19.0,16.0,32.0,16.0,33.0,3.0,3.0,5.0,0.7,0.45714285714285713,57.9,very low recovery time
123,123,1,Overnight (0–6),11,24.0,22.0,29.0,7.0,10.0,2.0,1.9,9.499999999999998,0.8,0.2,50.0,very low recovery time
123,123,1,PM Peak (15–19),45,19.0,18.0,36.0,18.0,42.0,5.0,3.0,5.0,0.5,0.5142857142857142,50.7,moderate
124,124,0,AM Peak (6–9),19,13.0,10.0,13.0,3.0,18.0,5.0,4.7,7.0,0.5,0.08571428571428572,29.3,moderate
124,124,0,Evening (19–24),16,11.0,9.0,11.0,2.0,16.0,5.0,5.0,7.0,0.5,0.05714285714285714,27.9,moderate
124,124,0,Midday (9–15),22,13.0,13.0,13.0,0.0,21.0,6.0,4.0,6.0,0.4,0.0,20.0,moderate
124,124,0,Overnight (0–6),7,10.0,9.0,10.0,1.0,7.0,7.0,4.0,7.0,0.30000000000000004,0.02857142857142857,16.4,moderate
124,124,0,PM Peak (15–19),24,15.0,13.0,15.0,2.0,22.0,3.0,3.0,4.900000000000002,0.7,0.05714285714285714,37.9,very low recovery time
124,124,1,AM Peak (6–9),19,15.0,13.0,15.0,2.0,18.0,3.0,3.0,3.0,0.7,0.05714285714285714,37.9,very low recovery time
124,124,1,Evening (19–24),16,11.0,10.0,11.0,1.0,16.0,3.0,3.0,4.0,0.7,0.02857142857142857,36.4,very low recovery time
124,124,1,Midday (9–15),20,14.0,14.0,14.0,0.0,22.0,3.0,3.0,3.0,0.7,0.0,35.0,very low recovery time
124,124,1,Overnight (0–6),7,12.0,10.0,14.0,4.0,5.0,4.0,1.6,4.0,0.6,0.11428571428571428,35.7,moderate
124,124,1,PM Peak (15–19),26,15.0,13.5,15.0,1.5,24.0,3.0,3.0,3.0,0.7,0.04285714285714286,37.1,very low recovery time
125,125,0,AM Peak (6–9),22,15.0,15.0,15.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,50.0,no recovery time
125,125,0,Evening (19–24),18,12.0,12.0,12.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,50.0,no recovery time
125,125,0,Midday (9–15),25,14.0,14.0,14.0,0.0,26.0,0.0,0.0,1.0,1.0,0.0,50.0,no recovery time
125,125,0,Overnight (0–6),5,12.0,2.1166666666666667,12.0,9.883333333333333,4.0,0.0,0.0,0.0,1.0,0.28238095238095234,64.1,no recovery time
125,125,0,PM Peak (15–19),25,15.0,14.4,15.0,0.5999999999999996,25.0,0.0,0.0,0.0,1.0,0.017142857142857133,50.9,no recovery time
125,125,1,AM Peak (6–9),21,15.0,15.0,15.0,0.0,19.0,0.0,0.0,1.0,1.0,0.0,50.0,no recovery time
125,125,1,Evening (19–24),20,13.0,11.891666666666667,13.0,1.1083333333333325,18.0,5.0,3.8000000000000007,5.0,0.5,0.03166666666666664,26.6,moderate
125,125,1,Midday (9–15),26,14.0,14.0,14.0,0.0,26.0,2.0,2.0,2.5,0.8,0.0,40.0,very low recovery time
125,125,1,Overnight (0–6),4,13.0,5.241666666666667,14.4,9.158333333333333,3.0,5.0,3.4,5.0,0.5,0.26166666666666666,38.1,moderate
125,125,1,PM Peak (15–19),24,15.0,15.0,15.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,50.0,no recovery time
126,126,0,AM Peak (6–9),9,16.0,11.0,16.0,5.0,8.0,2.0,0.0,2.0,0.8,0.14285714285714285,47.1,very low recovery time
126,126,0,Evening (19–24),10,13.0,11.0,13.0,2.0,11.0,2.0,2.0,4.0,0.8,0.05714285714285714,42.9,very low recovery time
126,126,0,Midday (9–15),13,14.0,14.0,15.600000000000001,1.6000000000000014,13.0,0.0,0.0,0.0,1.0,0.045714285714285756,52.3,no recovery time
126,126,0,Overnight (0–6),3,11.0,11.0,11.0,0.0,3.0,4.0,0.8,4.0,0.6,0.0,30.0,moderate
126,126,0,PM Peak (15–19),13,16.0,16.0,16.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,50.0,no recovery time
126,126,1,AM Peak (6–9),8,16.0,12.0,16.0,4.0,8.0,2.0,2.0,7.0,0.8,0.11428571428571428,45.7,very low recovery time
126,126,1,Evening (19–24),10,13.0,11.0,13.0,2.0,10.0,2.0,1.8,4.0,0.8,0.05714285714285714,42.9,very low recovery time
126,126,1,Midday (9–15),13,16.0,16.0,18.400000000000002,2.400000000000002,12.0,0.0,0.0,2.700000000000001,1.0,0.06857142857142863,53.4,no recovery time
126,126,1,Overnight (0–6),4,11.0,11.0,11.7,0.6999999999999993,2.0,4.0,4.0,4.0,0.6,0.01999999999999998,31.0,moderate
126,126,1,PM Peak (15–19),13,19.0,19.0,19.0,0.0,12.0,1.0,1.0,1.0,0.9,0.0,45.0,no recovery time
127,127,0,AM Peak (6–9),8,25.0,21.0,25.0,4.0,8.0,2.0,0.7000000000000001,2.0,0.8,0.11428571428571428,45.7,very low recovery time
127,127,0,Evening (19–24),12,23.5,21.0,26.0,5.0,12.0,3.0,0.0,3.0,0.7,0.14285714285714285,42.1,very low recovery time
127,127,0,Midday (9–15),17,27.0,26.2,34.2,8.000000000000004,16.0,3.0,2.0,3.5,0.7,0.22857142857142868,46.4,very low recovery time
127,127,0,Overnight (0–6),4,21.0,21.0,21.0,0.0,3.0,3.0,3.0,3.0,0.7,0.0,35.0,very low recovery time
127,127,0,PM Peak (15–19),9,39.0,38.0,39.0,1.0,9.0,3.0,3.0,3.6000000000000005,0.7,0.02857142857142857,36.4,very low recovery time
127,127,1,AM Peak (6–9),8,36.0,25.0,36.0,11.0,6.0,3.0,1.0,6.0,0.7,0.3142857142857143,50.7,very low recovery time
127,127,1,Evening (19–24),12,21.5,20.0,25.0,5.0,11.0,4.0,3.0,6.0,0.6,0.14285714285714285,37.1,moderate
127,127,1,Midday (9–15),16,29.0,29.0,29.0,0.0,17.0,7.0,3.0,7.0,0.30000000000000004,0.0,15.0,moderate
